,base,medical_resource,province,region,departure_location,departure_location_number,latitude,longitude,occasional_permanence
0,BA ANTW [Borgerhout] AMBUCE,ZW ANTWERPEN 7 (Team: AAANTW07A),Antwerpen,Vlaams Gewest,Gijselstraat 150 2140 BORGERHOUT,3811,51.2155158,4.4437875,N
1,BA ANTW [Hoboken] AMBUCE,ZW ANTWERPEN 9 (Team: AAANTW09A),Antwerpen,Vlaams Gewest,Antwerpsesteenweg 242 2660 HOBOKEN,3812,51.1788314,4.3619482,N
2,BA ANTW [Hof Ter Schelde] AC Antwerpen,ZW ANTWERPEN 3 (Team: AAANTW03A),Antwerpen,Vlaams Gewest,August Vermeylenlaan 6 2050 ANTWERPEN,10902,51.2328096,4.377237,N
3,BA ANTW [Kaai 606] SIHWA,ZW ANTWERPEN HAVEN 1 (Team: AAAPOR01A)_x000D_ZW ANTWERPEN HAVEN 2 (Team: AAAPOR02A),Antwerpen,Vlaams Gewest,Antwerpsebaan 4 (Kaai 606) 2040 ANTWERPEN,12902,51.3155156,4.3215063,N
4,BA ANTW [Sint Elisabeth] AC Antwerpen,ZW ANTWERPEN 2 (Team: AAANTW02A),Antwerpen,Vlaams Gewest,Leopoldstraat 26 2000 ANTWERPEN,10901,51.2136226,4.4057177,N
5,BA AREN Gemeente Arendonk,ZW ARENDONK 1 (Team: AAAREN01A),Antwerpen,Vlaams Gewest,Hovestraat 46 2370 ARENDONK,12101,51.319819,5.089912,N
6,BA BEER AD BEERSE,ZW BEERSE 1 (Team: AABEER01A),Antwerpen,Vlaams Gewest,IJzerstraat 3 2340 BEERSE,14701,51.3209834,4.8566561,N
7,BA BERL Rode Kruis,ZW BERLAAR 1 (Team: AABERL01A),Antwerpen,Vlaams Gewest,Zomerstraat 26 2590 BERLAAR,3511,51.1140555,4.6472462,N
8,BA ESSE Gemeente Essen,ZW ESSEN 1 (Team: AAESSE01A),Antwerpen,Vlaams Gewest,Heuvelplein 23 2910 ESSEN,16403,51.4646726,4.4725507,N
9,BA HERS Hulshoutse AD,ZW HULSHOUT 1 (Team: AAHERS01A),Antwerpen,Vlaams Gewest,Harmoniestraat 9A 2230 RAMSEL,16803,51.0430641,4.815907,N
10,BA KAPE AMBUCE,ZW KAPELLEN (Team: AAKAPE01A),Antwerpen,Vlaams Gewest,Essenhoutstraat 77 2950 KAPELLEN,3813,51.3120142,4.4243382,N
11,BA KONT ACL ACK,ZW KONTICH 1 (Team: AAKONT01A)_x000D_ZW KONTICH 2 COLLOCATIES (Team: AAKONT02A),Antwerpen,Vlaams Gewest,Duffelsesteenweg 100 2550 KONTICH,11101,51.1276472,4.4539147,N
12,BA RAVE Vlaams Kruis,ZW RAVELS 1 (Team: AARAVE01A),Antwerpen,Vlaams Gewest,Dreef 21 2381 WEELDE,4012,51.4095824,4.9965793,N
13,BA WIJN AMBUCE,ZW WIJNEGEM 1 (Team: AAWIJN01A),Antwerpen,Vlaams Gewest,Bijkhoevelaan 8 2110 WIJNEGEM,3810,51.2333921,4.4929328,N
14,BA ZAND Vlaams Kruis,ZW COVID Zandhoven (Team: AAZAND02A)_x000D_ZW ZANDHOVEN 1 (Team: AAZAND01A),Antwerpen,Vlaams Gewest,Populierenhoeve 20 2243 ZANDHOVEN,4011,51.2055292,4.6456563,N
15,BB BRUX Hôpital Militair KA,AMB COVID HM (Team: ABBRUX22A)_x000D_AMB HMB 13 (Team: ABBRUX13A),,Brussels Hoofdstedelijk Gewest,Rue Bruyn 1 1120 NEDER-OVER-HEEMBEEK,3921,50.9072587,4.3923288,N
16,BB FORE Croix Rouge,AMB FOREST (Team: ABFORE01A),,Brussels Hoofdstedelijk Gewest,Rue Marconi 144 1190 FOREST,3423,50.8155259,4.3416631,N
17,BF HULP ACS La Hulpe,AMB Bariatrique LA HULPE 5 (Team: AFHULP05A)_x000D_AMB LA HULPE 1 (Team: AFHULP01A)_x000D_AMB LA HULPE 2 (Team: AFHULP02A)_x000D_AMB LA HULPE 3 (Team: AFHULP03A)_x000D_AMB LA HULPE 4 (Team: AFHULP04A),Waals-Brabant,Waals Gewest,Rue E. Soyer 7 1310 LA HULPE,23601,50.7305766,4.4948658,N
18,BF OTTI Croix Rouge,AMB CÉROUX (Team: AFOTTI01A),Waals-Brabant,Waals Gewest,Rue De Franquenies 10 1341 OTTIGNIES,3621,50.6601956,4.5671377,N
19,BG AMAY Croix Rouge,CR.AMPSIN (Team: AGAMAY01A),Luik,Waals Gewest,"Rue du Chénia, 17 4540 AMPSIN",3667,50.5407363,5.2847964,N
20,BG AWAN PARAM,PR.PARAMEDICAL TEAM1 (Team: AGAWAN01A)_x000D_PR.PARAMEDICAL TEAM2 (Team: AGAWAN02A),Luik,Waals Gewest,Rue de Bruxelles 13 4342 AWANS,60202,50.6797955,5.4715356,N
21,BG BLEG Croix Rouge,CR BELGIQUE BARCHON (Team: AGBLEG01A),Luik,Waals Gewest,Rue Près Champs 25A 4672 Barchon,3668,50.6635369,5.6889139,N
22,BG LIEG Croix Rouge,CR LIEGE 4 (Team: AGLIEG04A)_x000D_CR LIEGE 5 (Team: AGLIEG05A),Luik,Waals Gewest,Rue Darchis 6 4000 LIEGE,3461,50.6372979,5.5669785,N
23,BG OUPE Croix Rouge,AMB COVID Oupeye (Team: AGOUPE02A)_x000D_CR.OUPEYE (Team: AGOUPE01A),Luik,Waals Gewest,Rue Du Roi Albert 50 4680 OUPEYE,3663,50.705059,5.6491165,N
24,BG SERA Croix Rouge,CR.OUGREE (Team: AGSERA01A),Luik,Waals Gewest,Avenue Du Centenaire 81 4102 OUGREE,3665,50.5894263,5.5428587,N
25,BH CHAR CSA Poste Gilly,SAPG 2 (Team: AHCHAR12A),Henegouwen,Waals Gewest,Rue Horace Pierard 17 6060 GILLY,50202,50.4179964,4.4745926,N
26,BH CHAR R-MED,AMB R-MED 5 (Team: AHCHAR05A)_x000D_AMB R-MED 6 (Team: AHCHAR06A),Henegouwen,Waals Gewest,Rue De Goutroux 81 6031 MONCEAU SUR SAMBRE,51301,50.412614,4.3768883,N
27,BH LOUV AS Grande,AMB STREPY 3 (Team: AHLOUV03A),Henegouwen,Waals Gewest,Rue de Nivelle 48 7110 STREPY,50301,50.4698175,4.1279295,N
28,BH MONS [Ghlin] Croix Rouge,AMB GHLIN (Team: AHMONS07A),Henegouwen,Waals Gewest,Chemin Bouteillier 1 7011 GHLIN,3652,50.4910226,3.9336411,N
29,BH SGHI Croix Rouge,AMB SAINT-GHISLAIN (Team: AHSGHI01A),Henegouwen,Waals Gewest,Rue Louis Caty 136 7331 BAUDOUR,3651,50.47713,3.8404351,N
30,BL BERI [Paal] Medicare,ZW PAAL Collocaties (Team: ALBERI01A),Limburg,Vlaams Gewest,St-Jansstraat 57 3583 PAAL,70301,51.0371352,5.1781604,N
31,BL BORG Ambi Care,ZW BORGLOON (Team: ALBORG01A),Limburg,Vlaams Gewest,Lambertusstraat 28 A 3840 BORGLOON,74102,50.8019177,5.3319635,N
32,BL LANA Ambi Care,ZW LANAKEN (Team: ALLANA01A),Limburg,Vlaams Gewest,Kiezelweg 43 3620 LANAKEN,74301,50.8763364,5.6277626,N
33,BL PEER AMBUCE,ZW PEER (Team: ALPEER01A),Limburg,Vlaams Gewest,Burgemeester Dupontplein 1 Bus 1 3990 PEER,3870,51.132399,5.4425231,N
34,BN NAMU Croix Rouge,CR NAMUR 4 (Team: ANNAMU04A),Namen,Waals Gewest,Rue De L'Industrie 124 5002 NAMUR / SAINT SERVAIS,3491,50.4760028,4.8473646,N
